City_ID,City,Lat,Lng,Weather,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
55,"Honiara,Sb",-9.4333,159.95,overcast clouds,79.38,87,100,8.28,SB,2021-09-20 07:50:58
56,"Dikson,Ru",73.5069,80.5464,overcast clouds,34.72,76,100,13.58,RU,2021-09-20 07:51:00
57,"Acajutla,Sv",13.5928,-89.8275,moderate rain,78.44,84,100,5.82,SV,2021-09-20 07:51:03
58,"Svetlogorsk,Ru",54.9399,20.1548,overcast clouds,47.8,73,98,17.9,RU,2021-09-20 07:51:05
59,"Hilo,Us",19.7297,-155.09,moderate rain,72.39,89,90,4.61,US,2021-09-20 07:48:33
60,"Katobu,Id",-4.9408,122.5276,light rain,74.53,93,100,3.58,ID,2021-09-20 07:51:08
61,"Lakatoro,Vu",-16.0999,167.4164,broken clouds,75.61,77,63,12.66,VU,2021-09-20 07:51:13
62,"Ixtapa,Mx",20.7,-105.2,overcast clouds,75.22,100,100,2.62,MX,2021-09-20 07:51:15
63,"Tuktoyaktuk,Ca",69.4541,-133.0374,scattered clouds,37.87,74,36,14.23,CA,2021-09-20 07:51:16
64,"Bordighera,It",43.7806,7.6645,clear sky,71.49,65,2,4.0,IT,2021-09-20 07:51:18
65,"Caravelas,Br",-17.7125,-39.2481,broken clouds,70.74,83,51,4.09,BR,2021-09-20 07:51:19
66,"Saskylakh,Ru",71.9167,114.0833,overcast clouds,34.75,73,100,7.94,RU,2021-09-20 07:51:20
67,"Hobart,Au",-42.8794,147.3294,broken clouds,49.86,65,75,1.01,AU,2021-09-20 07:51:22
68,"Otake,Jp",34.2,132.2167,broken clouds,82.09,65,75,4.61,JP,2021-09-20 07:51:25
69,"Butaritari,Ki",3.0707,172.7902,few clouds,82.69,73,13,9.66,KI,2021-09-20 07:51:26
70,"San Policarpo,Ph",12.1791,125.5072,heavy intensity rain,83.17,76,100,7.54,PH,2021-09-20 07:51:28
71,"Norman Wells,Ca",65.282,-126.8329,few clouds,33.84,93,20,4.61,CA,2021-09-20 07:51:29
72,"Naryan-Mar,Ru",67.6713,53.087,overcast clouds,42.73,68,100,9.1,RU,2021-09-20 07:51:30
73,"Vila Franca Do Campo,Pt",37.7167,-25.4333,broken clouds,68.41,79,80,7.96,PT,2021-09-20 07:51:32
74,"Ereymentau,Kz",51.6199,73.1033,overcast clouds,47.12,42,98,19.91,KZ,2021-09-20 07:51:33
75,"Iqaluit,Ca",63.7506,-68.5145,scattered clouds,26.33,86,40,5.75,CA,2021-09-20 07:51:35
76,"Port Alfred,Za",-33.5906,26.891,broken clouds,64.78,69,84,18.95,ZA,2021-09-20 07:51:36
77,"Lavrentiya,Ru",65.5833,-171.0,clear sky,31.35,66,6,8.21,RU,2021-09-20 07:51:38
78,"Port Blair,In",11.6667,92.75,overcast clouds,85.35,70,100,9.82,IN,2021-09-20 07:51:39
79,"Aguimes,Es",27.9054,-15.4461,scattered clouds,72.23,66,40,12.66,ES,2021-09-20 07:51:41
80,"Dingle,Ie",52.1408,-10.2689,overcast clouds,57.31,90,100,5.26,IE,2021-09-20 07:51:42
81,"Buraydah,Sa",26.326,43.975,clear sky,91.85,12,2,11.72,SA,2021-09-20 07:51:44
82,"Rio Gallegos,Ar",-51.6226,-69.2181,clear sky,37.45,87,0,9.22,AR,2021-09-20 07:51:45
83,"Kungurtug,Ru",50.5994,97.5228,overcast clouds,64.89,37,99,17.49,RU,2021-09-20 07:51:47
84,"Brae,Gb",60.3964,-1.353,overcast clouds,55.31,91,100,15.64,GB,2021-09-20 07:51:49
85,"Tiksi,Ru",71.6872,128.8694,overcast clouds,34.72,63,100,11.36,RU,2021-09-20 07:51:52
86,"Terrace Bay,Ca",48.7834,-87.1,broken clouds,67.62,95,51,11.05,CA,2021-09-20 07:51:53
87,"Tautira,Pf",-17.7333,-149.15,light rain,78.82,78,30,17.9,PF,2021-09-20 07:51:55
88,"Dukat,Ru",62.55,155.55,overcast clouds,39.67,96,100,4.36,RU,2021-09-20 07:51:56
89,"Palmer,Us",42.1584,-72.3287,clear sky,56.46,83,1,3.44,US,2021-09-20 07:51:58
90,"Ilulissat,Gl",69.2167,-51.1,overcast clouds,16.09,66,100,6.13,GL,2021-09-20 07:51:59
91,"Shingu,Jp",33.7333,135.9833,broken clouds,81.59,66,77,8.95,JP,2021-09-20 07:52:00
92,"Roebourne,Au",-20.7833,117.1333,few clouds,95.4,13,12,12.66,AU,2021-09-20 07:52:02
93,"Victoria,Sc",-4.6167,55.45,light rain,79.86,83,40,9.22,SC,2021-09-20 07:52:03
94,"Ust-Nera,Ru",64.5667,143.2,broken clouds,38.12,68,83,6.73,RU,2021-09-20 07:52:06
95,"Mareeba,Au",-17.0,145.4333,overcast clouds,74.44,63,85,6.51,AU,2021-09-20 07:52:08
96,"Alofi,Nu",-19.0595,-169.9187,broken clouds,73.29,94,75,4.61,NU,2021-09-20 07:52:10
97,"Vaini,To",-21.2,-175.2,few clouds,69.96,88,20,6.91,TO,2021-09-20 07:52:12
98,"Senneterre,Ca",48.3835,-77.2328,scattered clouds,52.02,71,31,7.76,CA,2021-09-20 07:52:13
99,"Bekovo,Ru",52.4663,43.712,moderate rain,43.05,83,100,22.41,RU,2021-09-20 07:52:15
100,"Qaanaaq,Gl",77.484,-69.3632,few clouds,9.9,71,13,10.0,GL,2021-09-20 07:52:16
101,"Atuona,Pf",-9.8,-139.0333,few clouds,77.81,77,11,20.56,PF,2021-09-20 07:52:17
102,"Ponta Do Sol,Cv",17.1994,-25.0919,overcast clouds,80.38,85,90,7.72,CV,2021-09-20 07:52:19
103,"Concepcion,Py",-23.4064,-57.4344,clear sky,76.69,27,0,4.81,PY,2021-09-20 07:52:20
104,"Boende,Cd",-0.2167,20.8667,scattered clouds,84.45,51,35,0.81,CD,2021-09-20 07:52:23
105,"Muisne,Ec",0.6,-80.0333,overcast clouds,73.98,89,100,8.05,EC,2021-09-20 07:52:24
106,"Lagoa,Pt",39.05,-27.9833,scattered clouds,68.36,69,38,12.86,PT,2021-09-20 07:52:27
107,"Kaitangata,Nz",-46.2817,169.8464,overcast clouds,50.31,83,98,4.92,NZ,2021-09-20 07:52:28
108,"Riyadh,Sa",24.6877,46.7219,clear sky,93.34,13,0,12.37,SA,2021-09-20 07:49:05
109,"Reyes,Bo",-14.3167,-67.3833,few clouds,72.84,79,15,1.32,BO,2021-09-20 07:52:32
110,"College,Us",64.8569,-147.8028,overcast clouds,45.28,75,90,3.44,US,2021-09-20 07:52:34
111,"Avarua,Ck",-21.2078,-159.775,broken clouds,73.45,88,75,3.44,CK,2021-09-20 07:52:35
112,"Saint-Augustin,Ca",51.226,-58.6502,clear sky,41.76,67,0,11.25,CA,2021-09-20 07:52:36
113,"Severnoye,Ru",56.3491,78.3619,light rain,36.37,99,100,9.46,RU,2021-09-20 07:52:38
114,"Kandalaksha,Ru",67.162,32.4123,clear sky,44.2,67,6,6.49,RU,2021-09-20 07:52:40
115,"Yantal,Ru",56.8471,105.2542,scattered clouds,72.9,38,45,7.87,RU,2021-09-20 07:52:42
116,"Isangel,Vu",-19.55,169.2667,clear sky,69.3,66,3,11.07,VU,2021-09-20 07:52:43
117,"Ribeira Grande,Pt",38.5167,-28.7,scattered clouds,68.4,68,40,8.05,PT,2021-09-20 07:52:45
118,"Horqueta,Py",-23.3428,-57.0597,clear sky,75.6,27,0,5.23,PY,2021-09-20 07:52:46
119,"Baijiantan,Cn",45.6333,85.1833,broken clouds,79.41,16,72,26.96,CN,2021-09-20 07:52:47
120,"Imperia,It",43.9667,7.7833,clear sky,65.48,64,2,2.3,IT,2021-09-20 07:52:49
121,"Pacific Grove,Us",36.6177,-121.9166,clear sky,60.58,87,1,1.99,US,2021-09-20 07:52:50
122,"Laguna De Duero,Es",41.5815,-4.7233,scattered clouds,54.95,81,40,9.22,ES,2021-09-20 07:52:52
123,"Bredasdorp,Za",-34.5322,20.0403,moderate rain,56.52,82,75,25.32,ZA,2021-09-20 07:52:53
124,"Guerrero Negro,Mx",27.9769,-114.0611,clear sky,67.48,83,0,10.16,MX,2021-09-20 07:52:55
125,"Marsa Matruh,Eg",31.3525,27.2453,scattered clouds,82.6,78,40,5.75,EG,2021-09-20 07:52:56
126,"Port Elizabeth,Za",-33.918,25.5701,few clouds,64.69,59,20,25.32,ZA,2021-09-20 07:52:58
127,"Qaqortoq,Gl",60.7167,-46.0333,scattered clouds,35.62,83,26,3.78,GL,2021-09-20 07:52:59
128,"Sfantu Gheorghe,Ro",45.8667,25.7833,broken clouds,61.34,55,81,4.61,RO,2021-09-20 07:51:42
129,"Oranjestad,Aw",12.524,-70.027,few clouds,82.35,78,20,8.05,AW,2021-09-20 07:53:02
130,"Ushuaia,Ar",-54.8,-68.3,few clouds,38.86,75,20,21.85,AR,2021-09-20 07:53:03
131,"Georgetown,Sh",-7.9333,-14.4167,broken clouds,75.31,81,74,17.76,SH,2021-09-20 07:53:05
132,"Paracale,Ph",14.2804,122.7881,moderate rain,83.16,84,100,4.12,PH,2021-09-20 07:53:06
133,"Kolyshley,Ru",52.7005,44.5367,light rain,42.42,82,100,22.97,RU,2021-09-20 07:53:07
134,"Talnakh,Ru",69.4865,88.3972,overcast clouds,33.69,73,100,16.78,RU,2021-09-20 07:53:09
135,"Birao,Cf",10.2849,22.7882,broken clouds,80.56,75,57,2.84,CF,2021-09-20 07:53:10
136,"Mount Pleasant,Us",32.7941,-79.8626,clear sky,81.0,84,1,5.01,US,2021-09-20 07:52:41
137,"Mitsamiouli,Km",-11.3847,43.2844,few clouds,82.69,57,20,8.05,KM,2021-09-20 07:53:14
138,"Nabire,Id",-3.3667,135.4833,moderate rain,82.11,76,95,3.09,ID,2021-09-20 07:53:15
139,"Elko,Us",41.0002,-115.5012,clear sky,43.65,66,6,5.01,US,2021-09-20 07:53:17
140,"Necochea,Ar",-38.5473,-58.7368,light rain,52.03,94,100,3.11,AR,2021-09-20 07:53:18
141,"Longyearbyen,Sj",78.2186,15.6401,broken clouds,42.64,75,75,12.66,SJ,2021-09-20 07:53:21
142,"Sistranda,No",63.7256,8.834,overcast clouds,53.56,84,96,5.79,NO,2021-09-20 07:53:22
143,"Severomuysk,Ru",56.1481,113.4267,clear sky,55.26,44,10,5.48,RU,2021-09-20 07:53:24
144,"Atbasar,Kz",51.8,68.3333,broken clouds,47.98,41,74,13.62,KZ,2021-09-20 07:53:25
145,"Upernavik,Gl",72.7868,-56.1549,light snow,26.24,89,100,9.75,GL,2021-09-20 07:53:27
