City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
66,Bambous Virieux,-20.3428,57.7575,72.21,72,11,10.04,MU,2021-09-18 15:07:31
67,Gat,31.61,34.7642,85.41,38,0,13.76,IL,2021-09-18 15:07:32
68,Kirakira,-10.4544,161.9205,79.18,87,46,11.59,SB,2021-09-18 15:07:32
69,Nanortalik,60.1432,-45.2371,41.4,90,100,10.85,GL,2021-09-18 15:07:33
70,Moussoro,13.6408,16.4901,95.92,33,45,9.24,TD,2021-09-18 15:07:33
71,Airai,-8.9266,125.4092,58.77,74,98,3.06,TL,2021-09-18 15:07:33
72,Saskylakh,71.9167,114.0833,26.2,96,89,4.23,RU,2021-09-18 15:07:34
73,Pocatello,42.8713,-112.4455,73.31,30,40,13.0,US,2021-09-18 15:04:01
74,Pevek,69.7008,170.3133,29.55,73,98,11.79,RU,2021-09-18 15:07:34
75,Ratchaburi,13.5833,99.5333,79.05,84,98,3.31,TH,2021-09-18 15:07:35
76,Ahipara,-35.1667,173.1667,49.39,77,32,3.18,NZ,2021-09-18 15:07:36
77,Saint-Philippe,-21.3585,55.7679,74.75,76,43,9.71,RE,2021-09-18 15:07:36
78,San Quintin,30.4833,-115.95,68.61,79,0,12.19,MX,2021-09-18 15:07:36
79,Daru,-9.0763,143.2092,75.09,88,100,17.54,PG,2021-09-18 15:07:37
80,Nikolskoye,59.7035,30.7861,49.89,64,93,9.33,RU,2021-09-18 15:07:37
81,Atuona,-9.8,-139.0333,77.07,79,30,17.78,PF,2021-09-18 15:07:38
82,Hobart,-42.8794,147.3294,46.26,76,90,1.01,AU,2021-09-18 15:03:13
83,Punta Arenas,-53.15,-70.9167,42.44,79,92,7.94,CL,2021-09-18 15:02:40
84,Aripuana,-9.1667,-60.6333,99.01,31,6,2.86,BR,2021-09-18 15:07:39
85,Arraial Do Cabo,-22.9661,-42.0278,76.86,73,75,14.97,BR,2021-09-18 15:07:39
86,Dongsheng,39.8161,109.9776,60.6,66,100,8.5,CN,2021-09-18 15:07:39
87,High Level,58.5169,-117.136,41.07,88,98,3.06,CA,2021-09-18 15:07:40
88,Yumen,40.2833,97.2,69.64,23,99,11.7,CN,2021-09-18 15:07:40
89,Hirara,24.8,125.2833,82.8,80,8,10.49,JP,2021-09-18 15:07:41
90,Mandalgovi,45.7625,106.2708,60.84,49,97,3.47,MN,2021-09-18 15:07:41
91,Kruisfontein,-34.0033,24.7314,61.88,58,77,20.29,ZA,2021-09-18 15:07:41
92,Butaritari,3.0707,172.7902,82.33,72,3,17.0,KI,2021-09-18 15:07:42
93,Morrope,-6.5417,-80.0111,64.51,63,53,9.35,PE,2021-09-18 15:07:42
94,Cape Town,-33.9258,18.4232,76.87,32,1,1.99,ZA,2021-09-18 15:05:16
95,Acobamba,-11.3525,-75.6594,61.52,48,4,6.89,PE,2021-09-18 15:07:43
